Title	URL	Author	Price
Network Programmability and Automation: Skills for the Next-Generation Network Engineer	/Network-Programmability-Automation-Next-Generation-Engineer/dp/1491931256/ref=sr_1_1?keywords=automation&qid=1555061372&s=books&sr=1-1	by Jason Edelman , Scott S. Lowe, et al. | Mar 3, 2018	$29
.			
"74"""			
Rise of the Robots: Technology and the Threat of a Jobless Future	/Rise-Robots-Technology-Threat-Jobless/dp/0465097537/ref=sr_1_2?keywords=automation&qid=1555061372&s=books&sr=1-2	by Martin Ford  | Jul 12, 2016	$11
.			
"55"""			
Industrial Automation: Hands On	/Industrial-Automation-Hands-Frank-Lamb/dp/0071816453/ref=sr_1_3?keywords=automation&qid=1555061372&s=books&sr=1-3	by Frank Lamb  | Jun 24, 2013	$60
.			
"00"""			
The Future of Leadership: Rise of Automation, Robotics and Artificial Intelligence	/Future-Leadership-Automation-Artificial-Intelligence/dp/9769609218/ref=sr_1_4?keywords=automation&qid=1555061372&s=books&sr=1-4	by Brigette Tasha Hyacinth  | Oct 6, 2017	$22
.			
"00"""			
Automation Made Easy: Everything You Wanted to Know about Automation--and Need to Ask	/Automation-Made-Easy-Everything-Automation/dp/1936007061/ref=sr_1_5?keywords=automation&qid=1555061372&s=books&sr=1-5	by Peter G. Martin and Gregory Hale | Jul 10, 2009	$79
.			
"00"""			
Reinventing Jobs: A 4-Step Approach for Applying Automation to Work	/Reinventing-Jobs-Approach-Applying-Automation/dp/1633694070/ref=sr_1_6?keywords=automation&qid=1555061372&s=books&sr=1-6	by Ravin Jesuthasan and John W. Boudreau  | Oct 9, 2018	$17
.			
"50"""			
The Future of Work: Robots, AI, and Automation	/Future-Work-Robots-AI-Automation/dp/0815732937/ref=sr_1_7?keywords=automation&qid=1555061372&s=books&sr=1-7	by Darrell M. West  | May 15, 2018	$19
.			
"79"""			
